Date : 2026-03-28 14:14:27
Directory : c:\GLAVPROJECTS\amazon-dip\frontend
Total : 121 files,  9049 codes, 219 comments, 682 blanks, all 9950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Register\index.ts                               | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\ResetSellerAccount\ResetSellerAccount.tsx       | TypeScript JSX     |         49 |          0 |          7 |         56 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\ResetSellerAccount\index.ts                     | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Reset\Reset.tsx                                 | TypeScript JSX     |         21 |          2 |          2 |         25 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Reset\index.ts                                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Welcome\Welcome.tsx                             | TypeScript JSX     |         17 |          4 |          3 |         24 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Welcome\index.ts                                | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAccount\SellerAccout.tsx                  | TypeScript JSX     |        167 |          1 |         26 |        194 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAccount\index.ts                          | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAddProduct\SellerAddProduct.tsx           | TypeScript JSX     |        358 |          0 |         18 |        376 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAddProduct\index.ts                       | TypeScript         |          0 |          0 |          1 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\UserProfile\UserProfile.tsx                     | TypeScript JSX     |         72 |          0 |          9 |         81 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\UserProfile\index.ts                            | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoAboutPage\YommingoAboutPage.tsx     | TypeScript JSX     |        117 |          0 |          7 |        124 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoAboutPage\index.ts                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoBasket\YommingoBasket.tsx           | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoBasket\index.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCatalog\YommingoCatalog.tsx         | TypeScript JSX     |         99 |          0 |          8 |        107 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCatalog\index.ts                    | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCountries\YommingoCountries.tsx     | TypeScript JSX     |         93 |          0 |          9 |        102 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCountries\index.ts                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoMain\YommingoMain.tsx               | TypeScript JSX     |         92 |          2 |         21 |        115 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoMain\index.ts                       | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoProductCard\YommingoProductCard.tsx | TypeScript JSX     |        121 |          0 |         15 |        136 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoProductCard\index.ts                | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoSearch\YommingoSearch.tsx           | TypeScript JSX     |         30 |          0 |          5 |         35 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoSearch\index.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\abstracts\_mixins.scss                              | SCSS               |         44 |          1 |          9 |         54 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\abstracts\_variables.scss                           | SCSS               |         14 |          8 |          5 |         27 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\base\_global.scss                                   | SCSS               |          5 |          0 |          1 |          6 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\base\_normalise.scss                                | SCSS               |         45 |          6 |          1 |         52 |
