"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "SCSS", "HTML", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoAboutPage.scss", "SCSS", 0, 0, 0, 0, 179, 0, 0, 0, 0, 15, 21, 215
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoBasket.scss", "SCSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 2, 15, 105
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoCatalog.scss", "SCSS", 0, 0, 0, 0, 130, 0, 0, 0, 0, 4, 21, 155
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoSearch.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 5, 21
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\yommingoMain.scss", "SCSS", 0, 0, 0, 0, 227, 0, 0, 0, 0, 2, 44, 273
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\yommingoProductCard.scss", "SCSS", 0, 0, 0, 0, 260, 0, 0, 0, 0, 6, 35, 301
"c:\GLAVPROJECTS\amazon-dip\frontend\src\types\auth.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 9, 50
"c:\GLAVPROJECTS\amazon-dip\frontend\src\types\product.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 12, 79
"c:\GLAVPROJECTS\amazon-dip\frontend\src\types\seller.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\GLAVPROJECTS\amazon-dip\frontend\src\types\testData.ts", "TypeScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 4, 7, 207
"c:\GLAVPROJECTS\amazon-dip\frontend\src\types\user.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.app.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.node.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\GLAVPROJECTS\amazon-dip\frontend\vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 22, 3964, 500, 7, 2321, 20, 60, 2024, 131, 219, 682, 9950
